"","yr","qtr","pr"
"1","1979","0.375",1.50560418281124
"2","1980","0.375",1.20087281379911
"3","1981","0.375",0.92306139901934
"4","1982","0.375",1.3363321432808
"5","1983","0.375",1.2532388474309
"6","1984","0.375",0.97074795640935
"7","1985","0.375",0.972737427186875
"8","1986","0.375",1.36016036819517
"9","1987","0.375",1.45623981225409
"10","1988","0.375",1.28967597327327
"11","1989","0.375",1.08709933119749
"12","1990","0.375",1.07941039567699
"13","1991","0.375",1.11797601516682
"14","1992","0.375",1.13139230541709
"15","1993","0.375",1.20996115042665
"16","1994","0.375",1.3298142132066
"17","1995","0.375",0.935536904411483
"18","1996","0.375",1.13735081213218
"19","1997","0.375",0.91567811044496
"20","1998","0.375",0.742546039274296
"21","1999","0.375",0.924836006779069
"22","2000","0.375",0.621047170599286
"23","2001","0.375",0.695237468446599
"24","2002","0.375",0.556833652495301
"25","2003","0.375",0.634268039312349
"26","2004","0.375",0.767139782564832
"27","2005","0.375",0.751541967860708
"28","2006","0.375",0.704044365471057
"29","2007","0.375",0.697656704848923
"30","2008","0.375",0.733940770386623
"31","2009","0.375",0.607977809933347
"32","2010","0.375",0.559541054211472
"33","2011","0.375",0.737061338863328
"34","2012","0.375",0.682065265263865
"35","2013","0.375",0.768671162827511
"36","2014","0.375",0.580882837912918
"37","2015","0.375",0.605853204506673
"38","2016","0.375",0.514995557073853
"39","2017","0.375",0.539479394448368
"40","2018","0.375",0.508811644441833
